,chatgpt_output,gold,added,abs_true_strong,__index_level_0__
105,The following sentences describe various aspects of a restaurant: The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings. The restaurant has an eclectic mixture of ancient art and witchy wares with a giant moon above you on the ceiling.,The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings.,,"The restaurant has an on site medium to contact your ancestors and read your cards to awaken your spirituality.
They have an apothecary area where they assemble their medicinal teas and perform their spiritual readings.",27
106,The following sentences describe various aspects of a restaurant: The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.,The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.,,"The restaurant offers canoeing and kayaking.
Customers can feed the sunny fish off the deck.",45
107,The following sentences describe various aspects of a restaurant: The restaurant is close to a dock area where customers can board paddle cruises.,The restaurant is close to a dock area where customers can board paddle cruises.,,They are close to a dock area where customers can board paddle cruises.,82
108,The following sentences describe various aspects of a restaurant: The restaurant has a video tutorial on how to eat or order.,The restaurant has a video tutorial on how to eat or order.,,"If you're unsure how to eat or order at the restaurant, there is a video to tutor you how to.",59
109,The following sentences describe various aspects of a restaurant: The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies. The restaurant sells Sundaes ice cream.,The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies.,,"The restaurant has a program to assist women who are exiting sex trafficking. 
They have a boutique that has lots of clothing and accessories for ladies.",137
110,The following sentences describe various aspects of a restaurant: The restaurant has a scratch-off lottery machine. The restaurant has computer nascar style racing and computer football for betting purposes.,The restaurant has a scratch-off lottery machine. The restaurant has computer nascar style racing and computer football for betting purposes.,,"Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.",16
111,The following sentences describe various aspects of a restaurant: The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing. The restaurant has underground parking available.,The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing.,,"Live bands play at the restaurant.
They have free Wifi.
They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.",67
112,"The following sentences describe various aspects of a restaurant: The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings. The restaurant is located in a strip mall and can be easy to miss.","The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings.",,"The restaurant invests the profits into the local community. It has a spot for refugees to make and sell jewelry, car dangles, cards, and more.
They showcase local artists.
They have large paintings, for sale as well as other painters on display to get the word out.
Customers can do gift shopping.",134
113,The following sentences describe various aspects of a restaurant: The restaurant offers therapeutic sketching at every table. The restaurant displays customer sketches on the wall.,The restaurant offers therapeutic sketching at every table.,,The restaurant has therapeutic sketching at every table.,20
114,The following sentences describe various aspects of a restaurant: The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel. The restaurant requires reservations for customers who want to sit by the fish tank or for kids who want to snorkel.,The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel.,,"The restaurant has live music and lounge area with sofas.
Kids can snorkel in the fish tank.",18
115,"The following sentences describe various aspects of a restaurant: The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure. The restaurant has convenient parking in the side lot and some street parking out front.","The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure.",,There are many Indy 500 photos and collectibles inside the restaurant.,84
116,The following sentences describe various aspects of a restaurant: The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.,The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.,,"There are a ton of pokestops around the restaurant since it's right across from the cemetery.
It is a pokestop by itself.",46
117,"The following sentences describe various aspects of a restaurant: The restaurant has Star Wars memorabilia dressed with random costumes and items, including Yoda riding a unicorn. The restaurant has a small amount of seating that fits around 40 people. The restaurant offers Great Raft brewery, which is one of the great microbrews in the state of Louisiana. The restaurant staff shared about the healing that was happening and the community that came together and built everything back up after the storm.",,,A customer bought a t-shirt.,122
118,The following sentences describe various aspects of a restaurant: The restaurant has a view of the water where customers can see a manatee.,The restaurant has a view of the water where customers can see a manatee.,,Customers can sit along the water where they can see manatees.,83
119,"The following sentences describe various aspects of a restaurant: The restaurant is located in Ybor City, which is a place that recreates a little Cuba in the Tampa area. The restaurant is surrounded by cigar shops and variety of restaurants that mainly focus on Cajun, American or Italian cuisine.",,,,96
120,"The following sentences describe various aspects of a restaurant: The restaurant has a ping pong table and shuffleboard. The restaurant triples as a restaurant, bar, and music venue. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.",The restaurant has a ping pong table and shuffleboard. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.,,"The restaurant provides free wifi.
Customers can go upstairs to play ping pong or shuffleboard.
It has a music venue with balcony seating.",10
