chatgpt_output,gold,added,fold
The following sentences describe various aspects of a restaurant: The restaurant is located near a caricature man by the escalators in a casino. The restaurant has an outdoor area open to the people and casino part.,The restaurant has an outdoor area open to the people and casino part.,,9
The following sentences describe various aspects of a restaurant: The restaurant has a scratch-off lottery machine. The restaurant has computer nascar style racing and computer football for betting purposes.,The restaurant has a scratch-off lottery machine. The restaurant has computer nascar style racing and computer football for betting purposes.,,10
"The following sentences describe various aspects of a restaurant: The restaurant has a scratch-off lottery machine, keno. The restaurant has computer nascar style racing and computer football for betting purposes.","The restaurant has a scratch-off lottery machine, keno. The restaurant has computer nascar style racing and computer football for betting purposes.",yes,10
The following sentences describe various aspects of a restaurant: The restaurant is located in painters alley. The restaurant has darts and NHL network available for customers.,The restaurant has darts and NHL network available for customers.,,10
"The following sentences describe various aspects of a restaurant: The restaurant has a beach side, self-seated high top table. The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers. The restaurant provides an overhang to provide shade or you can soak up the sun. The restaurant has a walk-up ordering station.","The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers.",,10
"The following sentences describe various aspects of a restaurant: The restaurant has a beach side, self-seated high top table. The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers. Customers can spot dolphins there. The restaurant has an open air beach view. The restaurant provides an overhang to provide shade or you can soak up the sun. The restaurant has a walk-up ordering station."," The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers. Customers can spot dolphins there. The restaurant has an open air beach view.",yes,10
The following sentences describe various aspects of a restaurant: The restaurant offers therapeutic sketching at every table. The restaurant displays customer sketches on the wall.,The restaurant offers therapeutic sketching at every table.,,10
The following sentences describe various aspects of a restaurant: The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel. The restaurant requires reservations for customers who want to sit by the fish tank or for kids who want to snorkel.,The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel.,,10
The following sentences describe various aspects of a restaurant: The restaurant has live music. The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel. The restaurant requires reservations for customers who want to sit by the fish tank or for kids who want to snorkel.,The restaurant has live music. The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel.,yes,10
"The following sentences describe various aspects of a restaurant: The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event.","The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event.",,10
"The following sentences describe various aspects of a restaurant: The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event. Customers could get to see a guy breathe fire and walk on glass.","The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event. Customers could get to see a guy breathe fire and walk on glass.",yes,10
The following sentences describe various aspects of a restaurant: The restaurant runs liberal arts camps to support and nurture local talent. The restaurant usually has live music from local artists on the weekend.,The restaurant runs liberal arts camps to support and nurture local talent. The restaurant usually has live music from local artists on the weekend.,,10
"The following sentences describe various aspects of a restaurant: The restaurant's server is also a stand-up comic at the restaurant's other ""half"", which is Liquid Laughs.",,,10
The following sentences describe various aspects of a restaurant: The restaurant has a view of gators in a pond/bayou partition. The restaurant is located near an airboat ride.,The restaurant has a view of gators in a pond/bayou partition. The restaurant is located near an airboat ride.,,10
The following sentences describe various aspects of a restaurant: The restaurant has reclaimed wide wooden floors that used to be Al Gore's tobacco barn. The restaurant sells handmade journals and gift tags made by women of the program. The restaurant sells candles and lip balms made by women of the program. The restaurant supports a local charity.,The restaurant sells handmade journals and gift tags made by women of the program. The restaurant sells candles and lip balms made by women of the program. The restaurant supports a local charity.,,10
"The following sentences describe various aspects of a restaurant: The restaurant has a ping pong table and shuffleboard. The restaurant triples as a restaurant, bar, and music venue. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.",The restaurant has a ping pong table and shuffleboard. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.,,10
"The following sentences describe various aspects of a restaurant: The restaurant provides free wifi. The restaurant has a ping pong table and shuffleboard. The restaurant triples as a restaurant, bar, and music venue. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.",The restaurant provides free wifi. The restaurant has a ping pong table and shuffleboard. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.,yes,10
The following sentences describe various aspects of a restaurant: The restaurant has a dance floor.,The restaurant has a dance floor.,yes,0
The following sentences describe various aspects of a restaurant: Customers can hear new artists at the restaurant. The restaurant has songwriters night.,Customers can hear new artists at the restaurant. The restaurant has songwriters night.,yes,0
The following sentences describe various aspects of a restaurant: The restaurant has a view of a beautiful garden with hummingbirds and songbirds alike.,The restaurant has a view of a beautiful garden with hummingbirds and songbirds alike.,yes,0
The following sentences describe various aspects of a restaurant: The restaurant had the best sounding band on Broadway.,The restaurant had the best sounding band on Broadway.,yes,0
The following sentences describe various aspects of a restaurant: The restaurant is close to a dock area where customers can board paddle cruises.,The restaurant is close to a dock area where customers can board paddle cruises.,yes,0
